설치년도,시도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),운영기관(대),운영기관(소),급속충전량,충전기타입,이용자제한,위도경도
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 범일로 645,내곡동 현대아파트(강릉),공동주택시설,아파트,완속,AC완속,타기관,파킹클라우드,,AC완속,이용가능,"37.7446699,128.8827605"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 범일로 645,내곡동 현대아파트(강릉),공동주택시설,아파트,완속,AC완속,타기관,파킹클라우드,,AC완속,이용가능,"37.7446699,128.8827605"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 범일로 645,내곡동 현대아파트(강릉),공동주택시설,아파트,완속,AC완속,타기관,파킹클라우드,,AC완속,이용가능,"37.7446699,128.8827605"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 범일로 645,내곡동 현대아파트(강릉),공동주택시설,아파트,완속,AC완속,타기관,파킹클라우드,,AC완속,이용가능,"37.7446699,128.8827605"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 범일로 645,내곡동 현대아파트(강릉),공동주택시설,아파트,완속,AC완속,타기관,파킹클라우드,,AC완속,이용가능,"37.7446699,128.8827605"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 범일로 645,내곡동 현대아파트(강릉),공동주택시설,아파트,완속,AC완속,타기관,파킹클라우드,,AC완속,이용가능,"37.7446699,128.8827605"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 범일로 645,내곡동 현대아파트(강릉),공동주택시설,아파트,완속,AC완속,타기관,파킹클라우드,,AC완속,이용가능,"37.7446699,128.8827605"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 범일로 645,내곡동 현대아파트(강릉),공동주택시설,아파트,완속,AC완속,타기관,파킹클라우드,,AC완속,이용가능,"37.7446699,128.8827605"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 범일로 645,내곡동 현대아파트(강릉),공동주택시설,아파트,완속,AC완속,타기관,파킹클라우드,,AC완속,이용가능,"37.7446699,128.8827605"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 범일로 645,내곡동 현대아파트(강릉),공동주택시설,아파트,완속,AC완속,타기관,파킹클라우드,,AC완속,이용가능,"37.7446699,128.8827605"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 범일로 645,내곡동 현대아파트(강릉),공동주택시설,아파트,급속,DC콤보,타기관,파킹클라우드,,DC콤보,이용자제한,"37.7446699,128.8827605"
2024,강원특별자치도,강릉시,강원특별자치도 강릉시 연곡면 삼산리 1438-10,오대산국립공원 소금강주차장,관광시설,관광지,완속,AC완속,타기관,파킹클라우드,,AC완속,이용가능,"37.8162640,128.7073040"
2024,강원특별자치도,강릉시,강원특별자치도 강릉시 연곡면 삼산리 1438-10,오대산국립공원 소금강주차장,관광시설,관광지,완속,AC완속,타기관,파킹클라우드,,AC완속,이용가능,"37.8162640,128.7073040"
2024,강원특별자치도,강릉시,강원특별자치도 강릉시 연곡면 삼산리 1438-10,오대산국립공원 소금강주차장,관광시설,관광지,완속,AC완속,타기관,파킹클라우드,,AC완속,이용가능,"37.8162640,128.7073040"
2024,강원특별자치도,강릉시,강원특별자치도 강릉시 연곡면 삼산리 1438-10,오대산국립공원 소금강주차장,관광시설,관광지,급속,DC콤보,타기관,파킹클라우드,,DC콤보,이용가능,"37.8162640,128.7073040"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 강변로 422,강릉중앙고등학교,기타시설,기타,완속,AC완속,타기관,LG유플러스,,AC완속,이용자제한,"37.757365,128.915033"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 강변로 422,강릉중앙고등학교,기타시설,기타,완속,AC완속,타기관,LG유플러스,,AC완속,이용자제한,"37.757365,128.915033"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 강변로 422,강릉중앙고등학교,기타시설,기타,완속,AC완속,타기관,LG유플러스,,AC완속,이용자제한,"37.757365,128.915033"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 율곡로2968번길 10,강릉교동초등학교,교육문화시설,학교,완속,AC완속,타기관,LG유플러스,,AC완속,이용자제한,"37.7673082,128.8935846"
2022,강원특별자치도,강릉시,강원특별자치도 강릉시 보래미하길79번길 21,강릉동명중학교,교육문화시설,학교,완속,AC완속,타기관,LG유플러스,,AC완속,이용자제한,"37.776662204,128.91355761"
2024,강원특별자치도,강릉시,강원특별자치도 강릉시 지변길 158,강릉문성고등학교,교육문화시설,학교,완속,AC완속,타기관,LG유플러스,,AC완속,이용가능,"37.775630,128.870032"
2024,강원특별자치도,강릉시,강원특별자치도 강릉시 지변길 158,강릉문성고등학교,교육문화시설,학교,완속,AC완속,타기관,LG유플러스,,AC완속,이용가능,"37.775630,128.870032"
2021,강원특별자치도,강릉시,강원특별자치도 강릉시 경강로 2498,강릉송정신원아침도시아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용자제한,"37.7731087,128.9329224"
2021,강원특별자치도,강릉시,강원특별자치도 강릉시 경강로 2498,강릉송정신원아침도시아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용자제한,"37.7731087,128.9329224"
2021,강원특별자치도,강릉시,강원특별자치도 강릉시 경강로 2498,강릉송정신원아침도시아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용자제한,"37.7731087,128.9329224"
2022,강원특별자치도,강릉시,강원특별자치도 강릉시 용지로 107,강릉여자고등학교,교육문화시설,학교,완속,AC완속,타기관,LG유플러스,,AC완속,이용자제한,"37.759651210,128.90343207"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 주문진읍 학교길 26,강릉정보공업고등학교,교육문화시설,학교,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용가능,"37.880501,128.830215"
2022,강원특별자치도,강릉시,강원특별자치도 강릉시 주문진읍 연주로 270,강원도립대학교,교육문화시설,학교,완속,AC완속,타기관,LG유플러스,,AC완속,이용자제한,"37.876632711,128.83062359"
2022,강원특별자치도,강릉시,강원특별자치도 강릉시 주문진읍 연주로 270,강원도립대학교,교육문화시설,학교,완속,AC완속,타기관,LG유플러스,,AC완속,이용자제한,"37.876632711,128.83062359"
2022,강원특별자치도,강릉시,강원특별자치도 강릉시 주문진읍 연주로 270,강원도립대학교,교육문화시설,학교,완속,AC완속,타기관,LG유플러스,,AC완속,이용자제한,"37.876632711,128.83062359"
2022,강원특별자치도,강릉시,강원특별자치도 강릉시 주문진읍 연주로 270,강원도립대학교,교육문화시설,학교,완속,AC완속,타기관,LG유플러스,,AC완속,이용자제한,"37.876632711,128.83062359"
2022,강원특별자치도,강릉시,강원특별자치도 강릉시 구정면 칠봉로 670-34,강원예술고등학교,교육문화시설,학교,완속,AC완속,타기관,LG유플러스,,AC완속,이용자제한,"37.721899298,128.86436102"
2022,강원특별자치도,강릉시,강원특별자치도 강릉시 구정면 칠봉로 670-34,강원예술고등학교,교육문화시설,학교,완속,AC완속,타기관,LG유플러스,,AC완속,이용자제한,"37.721899298,128.86436102"
2022,강원특별자치도,강릉시,강원특별자치도 강릉시 강릉대로547번길 14,경포고등학교,교육문화시설,학교,완속,AC완속,타기관,LG유플러스,,AC완속,이용자제한,"37.781705166,128.91605757"
2022,강원특별자치도,강릉시,강원특별자치도 강릉시 강릉대로547번길 14,경포고등학교,교육문화시설,학교,완속,AC완속,타기관,LG유플러스,,AC완속,이용자제한,"37.781705166,128.91605757"
2021,강원특별자치도,강릉시,강원특별자치도 강릉시 위촌길 30,더테라스아리스타,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용자제한,"37.7591716,128.8626007"
2021,강원특별자치도,강릉시,강원특별자치도 강릉시 위촌길 30,더테라스아리스타,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용자제한,"37.7591716,128.8626007"
2021,강원특별자치도,강릉시,강원특별자치도 강릉시 위촌길 30,더테라스아리스타,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용자제한,"37.7591716,128.8626007"
2022,강원특별자치도,강릉시,강원특별자치도 강릉시 강동면 헌화로 920-18,부채길 모텔,상업시설,숙박시설,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용가능,"37.6823664,129.0416603"
2021,강원특별자치도,강릉시,강원특별자치도 강릉시 회산로 313,회산한신더휴아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용자제한,"37.7379529,128.8632929"
2021,강원특별자치도,강릉시,강원특별자치도 강릉시 회산로 313,회산한신더휴아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용자제한,"37.7379529,128.8632929"
2021,강원특별자치도,강릉시,강원특별자치도 강릉시 회산로 313,회산한신더휴아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용자제한,"37.7379529,128.8632929"
2021,강원특별자치도,강릉시,강원특별자치도 강릉시 회산로 313,회산한신더휴아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용자제한,"37.7379529,128.8632929"
2021,강원특별자치도,강릉시,강원특별자치도 강릉시 회산로 313,회산한신더휴아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용자제한,"37.7379529,128.8632929"
